PROJ_CODE,PROJ_NAME,PROJ_SHORT,PRI_P_COM,LOC_SITE,LATITUDE,LONGITUDE,TECT_UNIT,EST_COM,EST_COM_AB,EST_COM_P,RES_QTY,RES_QTY_U,RES_QTY_G,RES_QTY_GU,RES_CON,RES_CON_U,ARES_CON,ARES_CON_U,RV_QTY,RV_QTY_U,RV_QTY_G,RV_QTY_GU,RV_CON,RV_CON_U,ARV_CON,ARV_CON_U,POINT_SIZE,POINT_UNIT,PROJ_URL,EXTRACT_DA
J05540,Beharra Silica Sand,Beharra,Silica sand,S0237620,-29.426222,115.111285,Beharra Springs Terrace,Loss on ignition,LOI,No,139,million tonnes,0.23848921,percent,0.3315,million tonnes,,,64.1,million tonnes,0.235,percent,0.150635,million tonnes,,,0.482135,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/25bf342d-fb6c-4398-a356-6897a3275fe3,19/10/2022
J05540,Beharra Silica Sand,Beharra,Silica sand,S0237620,-29.426222,115.111285,Beharra Springs Terrace,Silica,SiO2,No,139,million tonnes,98.56201439,percent,137001.2,kilotonne,,,64.1,million tonnes,98.6,percent,63202.6,kilotonne,,,200203.8,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/25bf342d-fb6c-4398-a356-6897a3275fe3,19/10/2022
J05540,Beharra Silica Sand,Beharra,Silica sand,S0237620,-29.426222,115.111285,Beharra Springs Terrace,Titanium dioxide,TiO2,No,139,million tonnes,0.34765468,percent,0.48324,million tonnes,,,64.1,million tonnes,0.346,percent,0.221786,million tonnes,,,0.705026,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/25bf342d-fb6c-4398-a356-6897a3275fe3,19/10/2022
J03297,Bellah Bore East,Bellah Bore East,Uranium,S0022744,-26.867531,119.810303,Yilgarn Craton granites,Uranium oxide,U3O8,No,0.35,million tonnes,0.21,kilogram/tonne,0.0735,kilotonne,,,,,,,,,,,0.0735,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/ab09559b-2184-46bd-8caf-04d0f60f370e,19/10/2022
J01570,Bellary Spring Aggregate,Bellary Spring,Aggregate - undifferentiated,S0003976,-23.024229,117.898804,South Pilbara Sub-basin,Aggregate - coarse,Aggc,No,0.1,million tonnes,100,percent,100000,tonnes,,,,,,,,,,,100000,tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/685b79c1-0ca0-424b-97c7-66b220918d8a,19/10/2022
J00016,Bellchambers,Bellchambers,Gold,S0000031,-28.162029,119.140297,Youanmi Terrane,Gold,Au,Yes,0.198,million tonnes,1.26323232,gram/tonne,250.12,kilogram,8041.54484,ounce (troy),,,,,,,,,250.12,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/a8d5baa5-1ed2-45ae-8f39-5d96a607cde4,19/10/2022
J04770,Bellevue,Bellevue,Gold,S0000933,-27.638941,120.557701,Eastern Goldfields Superterrane,Gold,Au,Yes,9.85,million tonnes,9.88720812,gram/tonne,97389,kilogram,3131129.1,ounce (troy),6.9,million tonnes,6.04492754,gram/tonne,41710,kilogram,1341007.657,ounce (troy),139099,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/8e4c069a-0a2b-44ad-92fc-50bdc54f753e,19/10/2022
J05856,Ben Hur,Ben Hur,Gold,S0004356,-28.16725,122.367203,Burtville Terrane,Gold,Au,Yes,16.071,million tonnes,1.327549,gram/tonne,21335.04,kilogram,685937.4733,ounce (troy),3.5,million tonnes,1.1,gram/tonne,3850,kilogram,123780.376,ounce (troy),25185.04,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/250d7c75-eab8-be5e-7f3d-734cf85890cb,19/10/2022
J05332,Beyondie Iron / AIC,Beyondie,Iron,S0223794,-24.916953,119.697857,Eastern Goldfields Superterrane,Alumina,Al2O3,No,714,million tonnes,4.18,percent,29.8452,million tonnes,,,,,,,,,,,29.8452,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/671c2afa-d62c-4b22-a16e-0c103ebe5a3b,19/10/2022
J05332,Beyondie Iron / AIC,Beyondie,Iron,S0223794,-24.916953,119.697857,Eastern Goldfields Superterrane,Iron,Fe,Yes,714,million tonnes,27.4,percent,195.636,million tonnes,,,,,,,,,,,195.636,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/671c2afa-d62c-4b22-a16e-0c103ebe5a3b,19/10/2022
J05332,Beyondie Iron / AIC,Beyondie,Iron,S0223794,-24.916953,119.697857,Eastern Goldfields Superterrane,Loss on ignition,LOI,No,714,million tonnes,2.68,percent,19.1352,million tonnes,,,,,,,,,,,19.1352,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/671c2afa-d62c-4b22-a16e-0c103ebe5a3b,19/10/2022
