SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0230507,Vespa,Vespa,Mine,Openpit,Operating,J00725,Woodie Woodie (Mining Corridor) / ConsMin,121.246725,-21.659567,318576,7603829,51,Mn,Steel alloy metal,MANGANESE ORE,Vespa,Y,Mn,Y,,Operating Mine,Public,3154,PEARANA,SF51-05,NULLAGINE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Carawine Sub-basin,20221013
S0230533,Gregory West 2,Gregory West 2 - Andover,Mine,Openpit,Operating,J01427,Gregory West - Andover / WA Limestone,117.070309,-20.852978,507314,7694122,50,Aggm Agg Aggc Gran,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2356,ROEBOURNE,SF50-03,ROEBOURNE,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Orpheus Supersuite,20221013
S0230541,Turner River M45/1193,Turner River M45/1193 / Hanson,Mine,Openpit,Operating,J01724,Turner River / Hanson Construction,118.486772,-20.530074,655010,7729153,50,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2556,YULE,SF50-03,ROEBOURNE,"PORT HEDLAND, TOWN OF","PILBARA, Development Region",45,MARBLE BAR,Mallina Basin,20221013
S0230542,Turner River M45/1174,Turner River M45/1174 / Hanson,Mine,Openpit,Operating,J01724,Turner River / Hanson Construction,118.517751,-20.609895,658158,7720288,50,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2656,WALLARINGA,SF50-04,PORT HEDLAND,"PORT HEDLAND, TOWN OF","PILBARA, Development Region",45,MARBLE BAR,Mallina Basin,20221013
S0230545,Bardies Well 2,Bardies Well 2,Mine,Openpit,Operating,J01514,Bardies Well Aggregate,116.912525,-20.834022,490898,7696218,50,Agg,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2256,DAMPIER,SF50-02,DAMPIER,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Regal Terrane,20221013
S0230566,Topvar,Topvar,Mine,Openpit,Operating,J00725,Woodie Woodie (Mining Corridor) / ConsMin,121.232365,-21.601489,317017,7610242,51,Mn,Steel alloy metal,MANGANESE ORE,,N,,,,,Public,3154,PEARANA,SF51-05,NULLAGINE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Wells Sub-basin,20221013
S0230572,Stage 2 / Pit N,Iron Valley Stage 2 / Pit N,Mine,Openpit,Operating,J03682,Iron Valley,119.31734,-22.719705,738018,7485648,50,Fe,Iron,IRON ORE,,N,,,,,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0230577,Wagin/GSQ,Wagin Quarry / Great Southern Quarries,Mine,Openpit,Operating,J04409,Wagin / Great Southern Quarries,117.309551,-33.22349,528844,6323894,50,Agg Gran,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2331,WAGIN,SI50-07,DUMBLEYUNG,"WAGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20221013
S0230587,McCoy,Huntly - McCoy,Mine,Openpit,Operating,J00779,Wagerup-Pinjarra / Alcoa,116.163598,-32.559864,421480,6397196,50,Bx,Alumina,BAUXITE - ALUMINA,,N,,,,,Public,2132,DWELLINGUP,SI50-02,PINJARRA,"MURRAY, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20221013
S0230598,Woolka Rd Lot 3157 Cooljarloo,Woolka Rd Lot 3157 Cooljarloo,Mine,Openpit,Operating,J04444,Woolka Rd Limesand,115.258242,-30.699507,333190,6602405,50,Lsd Aglime,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,1936,WEDGE ISLAND,SH50-09,HILL RIVER,"DANDARAGAN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Beermullah Trough,20221013
