SITE_CODE,PROJ_CODE,TITLE,SUB_TYPE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,LGA_NAME,DISTRICT_NAME,TECTONIC_UNIT
S0006418,J00017,Lady Rosie,Openpit,Operating,Cue Gold - Central Murchison,117.801355,-27.395183000000003,Au Ag,Precious metal,GOLD,"CUE, SHIRE OF",CUE,Youanmi Terrane
S0006420,J00685,Hope Downs 1 Flat Top,Openpit,Operating,Hope Downs Joint Venture,119.11796399999999,-22.959206,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0006435,J00358,Arctic Zone,Openpit,Operating,Kundana - White Flag,121.220299,-30.693701,Au,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",KUNANALLING,Eastern Goldfields Superterrane
S0006486,J00292,Porphyry - Ora Banda,Openpit,Operating,Paddington - Mt Pleasant,121.0233,-30.49255,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",KUNANALLING,Eastern Goldfields Superterrane
S0006504,J00009,Rosemont,Openpit,Operating,Duketon / Regis Resources,122.27453,-27.838984999999997,Au Ag,Precious metal,GOLD,"LAVERTON, SHIRE OF",MT. MARGARET,Eastern Goldfields Superterrane
S0006553,J02267,Klondyke,Openpit,Operating,Warrawoona Gold / Calidus,119.892303,-21.33811,Au Ag,Precious metal,GOLD,"EAST PILBARA, SHIRE OF",MARBLE BAR,Warrawoona  Large Igneous Province
S0006568,J00292,Jakarta,Openpit,Operating,Paddington - Mt Pleasant,121.40191200000001,-30.42485,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",BROAD ARROW M.F.,Yilgarn Craton granites
S0006569,J00009,Anchor - Zeta,Openpit,Under Development,Duketon / Regis Resources,122.34753,-27.672218,Au Ag,Precious metal,GOLD,"LAVERTON, SHIRE OF",MT. MARGARET,Burtville Terrane
S0006570,J00019,Fort William,Openpit,Operating,Binduli,121.384102,-30.788719,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",EAST COOLGARDIE,Eastern Goldfields Superterrane
S0006621,J01703,Sunrise Dam Underground,Decline,Operating,Sunrise Dam,122.419353,-29.079404999999998,Au Ag As,Precious metal,GOLD,"LAVERTON, SHIRE OF",MT. MORGANS,Eastern Goldfields Superterrane
S0006640,J02285,Mt Marion North Pit 1 (N01),Openpit,Operating,Mt Marion Lithium,121.461471,-31.073596999999996,Li Ta Mica Spd Li2O,Speciality metal,TIN - TANTALUM - LITHIUM,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0006651,J00417,Plutonic Zone 124,Decline,Operating,Plutonic Gold,119.442299,-25.30196,Au Ag,Precious metal,GOLD,"MEEKATHARRA, SHIRE OF",PEAK HILL M.F.,Yilgarn Craton granites
S0006652,J00417,Plutonic Northwest,Decline,Operating,Plutonic Gold,119.438004,-25.314529,Au Ag,Precious metal,GOLD,"MEEKATHARRA, SHIRE OF",PEAK HILL M.F.,Eastern Goldfields Superterrane
S0006668,J01339,The Mount,Decline,Operating,The Mount,121.56947,-31.528304,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0006685,J02145,Shoemaker - Levy,Openpit,Operating,Ravensthorpe - First Quantum,120.325452,-33.576415999999995,Ni Co FeOre Al Mg Ca Carb Cu Zn,Steel alloy metal,NICKEL,"RAVENSTHORPE, SHIRE OF",PHILLIPS RIVER M.F.,Youanmi Terrane
S0006687,J02854,Golden Orb,Openpit,Operating,Marda / Southern Cross,119.18229699999999,-30.285641,Au Ag,Precious metal,GOLD,"YILGARN, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0006727,J00178,Beta Hunt Surface Gold,Openpit,Operating,Kambalda - St Ives,121.696799,-31.246434000000004,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0006746,J00109,Starlight Underground,Decline,Operating,Fortnum,118.358498,-25.321899,Au Ag,Precious metal,GOLD,"MEEKATHARRA, SHIRE OF",PEAK HILL M.F.,Bryah Basin
S0009463,J02851,Regal - Boorara,Openpit,Operating,Boorara / Horizon,121.638346,-30.799028999999997,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",EAST COOLGARDIE,Eastern Goldfields Superterrane
S0016736,J00156,Milky Way,Openpit,Operating,Mt Magnet,117.78888700000002,-28.053321999999998,Au Ag,Precious metal,GOLD,"MOUNT MAGNET, SHIRE OF",MT. MAGNET,Youanmi Terrane
S0017008,J04090,Greenbushes TSF1,Tailings storage facility,Operating,Greenbushes Lithium,116.060204,-33.877041,Ta Li Sn,Speciality metal,TIN - TANTALUM - LITHIUM,"BRIDGETOWN-GREENBUSHES, SHIRE OF",GREENBUSHES M.F.,South West Terrane
